Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18
A-90%B_a_1,13.35324,18.44297,23.22457,29.86926,33.54763,32.4445,31.19773,39.73658,52.19273,54.87131,56.19893,59.5376,55.25283,53.65996,51.40739,45.03269,42.90081,34.13709,2.202168,3.078874,3.514214,3.962185,4.20492,4.168853,3.998386,4.411205,4.477337,4.458945,4.509238,4.544618,4.190053,4.128069,4.102093,3.658537,3.631247,3.36973
A-90%B_b_1,13.56716,18.47106,23.35496,30.2327,33.74765,32.57553,31.29117,39.48788,52.10928,54.83953,56.18654,59.64174,55.50274,53.92875,51.72074,45.27309,43.10998,34.27939,2.259289,3.130389,3.597542,4.103191,4.372964,4.34383,4.218675,4.620245,4.580769,4.523283,4.564937,4.557558,4.239952,4.191677,4.178021,3.77728,3.765599,3.53747
A-90%B_c_1,13.60779,18.73087,23.55479,30.20633,33.86378,32.77631,31.57779,39.93752,52.37103,55.09713,56.46266,59.95319,55.74068,54.15339,51.92879,45.43205,43.26104,34.37785,2.46135,3.527263,4.026482,4.513049,4.813114,4.789998,4.609727,5.078461,4.979799,4.899766,4.936226,4.914682,4.554422,4.509308,4.5099,4.096448,4.083556,3.855772
A-90%B_d_1,13.33611,18.30883,23.09413,29.76447,33.26892,32.11281,30.74582,39.08784,51.72736,54.47874,55.85068,59.37801,55.21021,53.64287,51.45094,45.07706,42.93081,34.20036,2.510808,3.495115,3.988359,4.474205,4.690804,4.644559,4.440568,4.84327,4.837713,4.788692,4.840325,4.851743,4.49059,4.454623,4.453011,4.05818,4.052886,3.853272
A-90%B_e_1,13.08126,17.79438,22.52845,29.18817,32.7973,31.73569,30.76384,38.81703,50.80745,53.38275,54.65552,57.7994,53.67217,52.15876,50.04046,43.90201,41.78466,33.23387,2.37797,3.26138,3.760177,4.324618,4.61142,4.569646,4.403692,4.831637,4.944341,4.917635,4.96655,4.981646,4.651918,4.602651,4.598567,4.145687,4.126572,3.864375
25%A-75%B_a_1,11.90085,16.69979,21.38179,28.01312,31.31172,30.02023,28.08758,36.94498,50.57275,53.67884,55.26056,60.00006,56.10966,54.5392,52.3222,45.93143,43.83862,35.20633,1.757903,2.489465,2.916757,3.368948,3.667398,3.631916,3.429909,3.999731,4.166101,4.15207,4.210338,4.298319,4.056386,4.017571,4.040021,3.735854,3.736458,3.577145
25%A-75%B_b_1,11.82778,16.71849,21.39781,27.96453,31.35073,30.08819,28.20841,37.17726,50.62504,53.68882,55.26307,59.92842,55.90294,54.31789,52.09255,45.75798,43.6794,35.10158,1.71834,2.510708,2.963132,3.445963,3.738647,3.703011,3.530668,4.082259,4.216503,4.209429,4.265291,4.363738,4.124458,4.079629,4.092263,3.747869,3.732076,3.527386
25%A-75%B_c_1,11.83448,16.76645,21.43295,27.9693,31.3014,30.04015,28.17532,37.06384,50.47185,53.5702,55.1702,59.89323,55.86563,54.27592,52.05082,45.69257,43.59452,34.98455,1.791248,2.572337,2.99937,3.420515,3.681033,3.653841,3.463521,3.956104,3.895169,3.833966,3.871733,3.892789,3.646659,3.610327,3.640703,3.38341,3.386498,3.280311
25%A-75%B_d_1,11.96861,17.121,21.67702,27.90228,31.43579,30.24532,28.31264,37.61454,50.8144,53.83597,55.42321,60.07243,55.96955,54.3767,52.1506,45.87434,43.82173,35.32197,1.999496,2.9733,3.477178,3.975488,4.321251,4.275601,4.013585,4.706088,4.74414,4.657568,4.678396,4.591853,4.28412,4.25388,4.304729,4.023746,4.027916,3.864045
25%A-75%B_e_1,11.82579,16.76893,21.40381,27.8679,31.23603,29.98812,28.07485,37.03292,50.18944,53.12628,54.62244,58.98858,54.98145,53.45016,51.30385,45.17629,43.13939,34.78051,1.80987,2.637352,3.113932,3.619599,3.956694,3.918307,3.684283,4.299255,4.449902,4.431081,4.492001,4.572349,4.260678,4.213572,4.22204,3.873587,3.868541,3.655809
