Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,Mean 16,Mean 17,Mean 18,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18
0C_0h_air_a_b1,16.96142,21.43848,26.01804,32.47007,34.48205,32.841,29.98512,36.53511,50.91374,53.58867,54.5603,57.29671,54.1545,52.59559,50.31637,44.06684,41.97271,33.65311,3.63849,4.404888,4.779017,5.289883,5.525663,5.512681,5.465576,5.8846,6.681794,6.899176,7.088789,7.543264,7.788081,7.647759,7.480256,6.262642,6.131865,5.200771
0C_0h_air_b_b1,18.9854,23.36201,28.56777,35.91738,37.60916,35.72009,32.90823,39.61741,55.10175,57.76926,58.72185,61.06983,57.30079,55.58432,53.08335,45.8611,43.45798,33.96883,4.321651,5.120403,5.435298,5.747703,5.863456,5.821411,5.611667,6.090207,6.505785,6.654275,6.781777,7.007322,6.859642,6.724678,6.576669,5.526773,5.429736,4.760296
0C_0h_air_c_b1,16.49812,19.57446,24.30506,31.66792,33.36868,31.45268,29.45237,34.87909,51.43425,54.64526,55.71692,58.59063,56.23237,54.62781,52.20688,45.18095,42.82625,33.59426,3.208,3.566801,3.864101,4.421433,4.513731,4.467379,4.611857,4.767479,5.456419,5.674316,5.789197,6.104639,6.424934,6.324806,6.187864,5.187523,5.08429,4.393369
0C_0h_air_d_b1,15.8979,20.23135,24.71088,30.9628,32.84003,31.17073,28.16983,35.56894,51.30799,54.18245,55.21804,58.20766,55.13002,53.51035,51.13794,44.51017,42.28312,33.57774,3.37217,4.035917,4.488086,5.113969,5.174401,5.069338,5.015106,5.239349,5.9447,6.118169,6.249835,6.433627,6.358548,6.24252,6.131326,5.197279,5.089134,4.405926
0C_168h_air_a_b1,16.13607,20.91117,24.15813,27.7128,29.07426,28.40046,28.26476,34.86735,45.41073,49.29485,51.38081,58.01649,53.75291,52.11517,49.69302,43.50035,41.40983,33.07069,3.286748,4.134642,4.546586,5.020103,5.1655,5.199626,5.695897,5.995887,6.042382,6.322252,6.577972,7.461564,7.295033,7.16972,7.036465,5.985642,5.839522,4.947689
0C_168h_air_b_b1,16.72256,22.22432,25.66405,29.41817,31.43584,30.77566,30.56399,37.54267,48.28593,51.68992,53.44248,58.61702,54.00497,52.35495,49.93878,43.76437,41.65014,33.2829,3.779065,4.559028,4.829491,5.056443,5.236751,5.267657,5.513949,6.080414,6.005322,6.117116,6.303404,6.708858,6.329537,6.247525,6.197596,5.39595,5.292322,4.617818
0C_168h_air_c_b1,15.17135,17.85807,21.23601,26.25648,27.51213,25.95638,23.13541,29.96432,46.33366,49.81557,51.08061,55.40164,53.41174,51.84098,49.39737,43.02445,40.8139,32.20523,4.116042,4.743662,4.985841,5.303655,5.315374,5.253458,5.107965,5.670302,5.86978,5.985548,6.123086,6.378112,6.197884,6.138593,6.049312,5.185265,5.063762,4.396271
0C_168h_air_d_b1,15.65224,19.12245,23.03507,28.74489,30.67995,29.11032,26.58717,33.75878,49.8012,52.74667,53.7889,56.62686,53.75595,52.29329,50.06446,43.96606,41.80047,33.34064,3.59072,4.256306,4.544102,4.916757,4.980559,4.908759,4.600989,5.157278,5.615077,5.737599,5.851496,6.036046,5.921556,5.888342,5.844925,5.060147,4.949654,4.321895
0C_168h_air_e_b1,16.83613,20.68379,24.23816,28.87651,30.15221,29.02804,28.25066,34.2781,48.96916,53.05196,54.88562,60.36703,57.52953,55.87347,53.33544,46.30614,43.99857,34.73854,3.922437,4.358008,4.508462,4.642586,4.552959,4.521471,4.576957,4.720994,4.833615,4.978722,5.065327,5.497976,5.858167,5.885191,5.839229,5.029868,4.940762,4.373591
0C_168h_air_f_b1,18.00309,22.49273,25.9869,30.27578,32.16918,31.11695,30.08538,35.83051,50.09999,53.33378,54.60408,58.11397,54.61024,53.0654,50.73116,44.34856,42.11502,33.31227,5.887213,6.195045,6.297836,6.410402,6.166339,6.044679,5.700991,6.002873,6.543221,6.637996,6.71154,6.779059,6.690007,6.66888,6.635221,5.813686,5.707983,5.034821
